#BLTrackFile NTuple/Z70
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-1.88423 -7.24918 70.4558 0.224375 -7.21189 73.0777 -0.775159 -13 1 1 0 1
11.3286 2.98298 70.4558 14.5753 -1.6751 79.717 0.323408 -13 2 1 0 1
3.24444 -1.89091 70.4558 6.44808 -2.45158 71.5135 1.28311 -13 3 1 0 1
-5.19677 -3.67107 70.4558 -5.73268 -2.33823 78.4298 0.721604 -13 4 1 0 1
-6.54218 1.02143 70.4558 -1.55212 -0.710609 61.6039 0.9087 -13 5 1 0 1
0.0318617 -1.77425 70.4558 2.23953 -0.759558 75.5156 -0.400104 -13 6 1 0 1
4.51539 -5.14 70.4558 9.79025 -4.45194 61.0014 -0.473011 -13 7 1 0 1
-8.05806 5.42145 70.4558 -0.460016 6.782 47.5031 0.419087 -13 8 1 0 1
11.6227 9.49372 70.4558 16.2703 10.3203 61.7814 1.52135 -13 9 1 0 1
8.02262 -4.5538 70.4558 13.3375 -3.46003 65.8698 1.0914 -13 10 1 0 1
9.00604 8.58525 70.4558 13.1131 9.52116 70.863 -0.132711 -13 11 1 0 1
-0.768171 -8.47572 70.4558 4.28481 -9.75083 60.8407 2.10399 -13 12 1 0 1
15.5171 -7.24286 70.4558 19.9712 -10.3085 56.083 -1.12328 -13 14 1 0 1
9.13121 -8.30351 70.4558 14.2296 -8.72482 66.0569 1.88187 -13 15 1 0 1
0.990645 10.0406 70.4558 5.55014 11.764 63.8298 -0.246228 -13 17 1 0 1
-1.77731 -8.55116 70.4558 4.34563 -8.63529 52.5528 1.85709 -13 18 1 0 1
-9.3895 5.48514 70.4558 -6.46645 7.01594 65.7946 0.529577 -13 19 1 0 1
6.68256 -8.83442 70.4558 11.4137 -8.69087 63.5699 3.36427 -13 20 1 0 1
-0.427935 3.68081 70.4558 5.30537 5.95122 57.1045 -0.753687 -13 22 1 0 1
-2.04318 18.0367 70.4558 4.77003 12.5805 43.3288 1.01849 -13 23 1 0 1
-6.29473 10.4028 70.4558 -0.165884 9.52748 54.9156 1.14269 -13 24 1 0 1
9.69359 -0.284556 70.4558 14.2283 1.89637 69.7404 0.690344 -13 25 1 0 1
4.20476 2.83389 70.4558 8.76324 3.57649 68.1884 0.272253 -13 26 1 0 1
5.16816 -3.281 70.4558 9.68342 -0.0490075 66.2512 1.86658 -13 27 1 0 1
10.8496 -8.61467 70.4558 15.3903 -10.0362 72.1184 0.653099 -13 28 1 0 1
0.861011 4.3131 70.4558 4.708 6.66947 66.9626 1.4225 -13 30 1 0 1
2.64215 1.50905 70.4558 5.72969 3.05165 71.974 0.121628 -13 31 1 0 1
-1.36137 3.10404 70.4558 3.45295 3.40496 62.8041 -0.0689596 -13 32 1 0 1
10.835 -4.74094 70.4558 10.4178 -1.33127 24.526 1.69782 -13 33 1 0 1
-6.18728 -1.63491 70.4558 -2.70976 -0.303282 66.8243 -0.20336 -13 34 1 0 1
-13.4446 -12.2539 70.4558 -12.7505 -13.0169 71.5901 2.5938 -13 35 1 0 1
4.57713 3.67491 70.4558 9.32364 6.71197 65.9313 -0.695906 -13 36 1 0 1
4.69605 -5.55238 70.4558 7.11799 -8.84439 79.6505 -1.07668 -13 37 1 0 1
5.61228 -10.649 70.4558 10.5691 -11.6063 59.4258 1.88546 -13 38 1 0 1
-0.107932 8.05541 70.4558 4.9942 6.98973 52.0614 1.22647 -13 40 1 0 1
15.71 13.8659 70.4558 14.9378 4.48512 41.1704 0.281489 -13 41 1 0 1
1.78867 0.486743 70.4558 5.46314 -1.69232 68.2906 1.6549 -13 42 1 0 1
-4.56965 -2.54952 70.4558 -6.57906 -3.62442 79.668 0.688554 -13 43 1 0 1
8.24791 2.33391 70.4558 13.2785 1.31129 55.4176 1.08993 -13 44 1 0 1
5.58486 -7.08659 70.4558 9.52762 -7.77286 67.5135 0.802149 -13 46 1 0 1
5.8129 11.3441 70.4558 10.4644 8.61118 59.2835 1.35783 -13 47 1 0 1
-1.907 5.42144 70.4558 1.49209 8.84839 66.4559 1.10309 -13 48 1 0 1
6.50814 -14.1978 70.4558 10.6504 -20.0668 67.4873 -0.144885 -13 49 1 0 1
11.7805 -4.51575 70.4558 14.8064 -2.51369 41.5237 -0.134211 -13 50 1 0 1
7.38502 5.6571 70.4558 10.9846 4.48415 72.1609 0.0901376 -13 51 1 0 1
1.16305 12.1845 70.4558 6.77108 11.85 55.292 0.527072 -13 52 1 0 1
